Event_Title,Event_Date,Event_Location,fighterA,fighterB,kdA,kdB,end_time,method,round,STRa,STRb,SubA,SubB,TDa,TDb,weight
UFC Fight Night: Cowboy vs Miller,16-Jul-14,"Atlantic City, New Jersey, USA",Jeff Molina,Zhalgas Zhumagulov,0,0,5:00,S-DEC,3,56,37,0,0,0,2,Flyweight
UFC Fight Night: Cowboy vs Miller,16-Jul-14,"Atlantic City, New Jersey, USA",Rinat Fakhretdinov,Andreas Michailidis,0,0,5:00,U-DEC,3,45,18,0,0,5,0,Welterweight
UFC Fight Night: Cowboy vs Miller,16-Jul-14,"Atlantic City, New Jersey, USA",Erin Blanchfield,JJ Aldrich,0,0,2:38,SUB,2,48,32,1,0,0,2,Women's Flyweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Ketlen Vieira,Holly Holm,0,0,5:00,S-DEC,5,85,96,1,0,1,0,Women's Bantamweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Michel Pereira,Santiago Ponzinibbio,0,0,5:00,S-DEC,3,110,105,0,0,0,1,Welterweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Chidi Njokuani,Dusko Todorovic,1,0,4:48,KO/TKO,1,14,5,1,0,0,2,Middleweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Tabatha Ricci,Polyana Viana,0,0,5:00,U-DEC,3,33,36,0,0,5,0,Women's Strawweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Junyong Park,Eryk Anders,0,0,5:00,S-DEC,3,105,65,0,0,0,3,Middleweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Joseph Holmes,Alen Amedovski,1,0,1:04,SUB,1,16,1,1,0,1,0,Middleweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Jailton Almeida,Parker Porter,0,0,4:35,SUB,1,18,0,1,0,1,0,Heavyweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Uros Medic,Omar Morales,2,0,3:05,KO/TKO,2,47,33,0,0,0,0,Lightweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Jonathan Martinez,Vince Morales,0,0,5:00,U-DEC,3,88,51,0,0,2,0,Bantamweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Chase Hooper,Felipe Colares,0,0,3:00,KO/TKO,3,60,21,3,0,4,2,Featherweight
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,6-Jul-14,"Las Vegas, Nevada, USA",Sam Hughes,Elise Reed,0,0,3:52,KO/TKO,3,43,17,0,0,4,0,Women's Strawweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Jan Blachowicz,Aleksandar Rakic,0,0,1:11,KO/TKO,3,31,27,1,0,0,1,Light Heavyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Ryan Spann,Ion Cutelaba,0,0,2:22,SUB,1,4,2,1,0,0,3,Light Heavyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Davey Grant,Louis Smolka,1,0,0:49,KO/TKO,3,81,71,0,0,0,0,Bantamweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Katlyn Chookagian,Amanda Ribas,0,0,5:00,S-DEC,3,63,55,0,0,0,3,Women's Flyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Manuel Torres,Frank Camacho,1,0,3:27,KO/TKO,1,34,16,0,0,0,0,Lightweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Allan Nascimento,Jake Hadley,0,0,5:00,U-DEC,3,19,8,0,1,2,0,Flyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Viviane Araujo,Andrea Lee,0,1,5:00,U-DEC,3,39,47,2,0,3,1,Women's Flyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Michael Johnson,Alan Patrick,1,0,3:22,KO/TKO,2,30,22,0,0,1,0,Lightweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Virna Jandiroba,Angela Hill,0,0,5:00,U-DEC,3,14,21,0,0,3,1,Women's Strawweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Tatsuro Taira,Carlos Candelario,1,0,5:00,U-DEC,3,57,9,3,1,1,2,Flyweight
UFC 175: Weidman vs Machida,5-Jul-14,"Las Vegas, Nevada, USA",Andre Petroski,Nick Maximov,0,0,1:16,SUB,1,1,4,1,0,0,0,Middleweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Charles Oliveira,Justin Gaethje,1,1,3:22,SUB,1,30,21,2,0,0,0,Lightweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Carla Esparza,Rose Namajunas,0,0,5:00,S-DEC,5,30,37,0,0,2,1,Women's Strawweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Michael Chandler,Tony Ferguson,1,0,0:17,KO/TKO,2,27,20,0,0,1,0,Lightweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Ovince Saint Preux,Mauricio Rua,0,0,5:00,S-DEC,3,62,54,0,0,0,0,Light Heavyweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Randy Brown,Khaos Williams,0,1,5:00,S-DEC,3,93,75,0,0,0,0,Welterweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Francisco Trinaldo,Danny Roberts,0,0,5:00,U-DEC,3,80,36,1,0,0,0,Welterweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Macy Chiasson,Norma Dumont,0,0,5:00,S-DEC,3,32,38,0,0,6,0,Women's Featherweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Brandon Royval,Matt Schnell,0,1,2:14,SUB,1,14,12,1,0,0,0,Flyweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Blagoy Ivanov,Marcos Rogerio de Lima,0,0,5:00,U-DEC,3,62,68,0,0,0,1,Heavyweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Andre Fialho,Cameron VanCamp,1,0,2:35,KO/TKO,1,17,19,0,0,0,0,Welterweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Tracy Cortez,Melissa Gatto,0,0,5:00,U-DEC,3,36,30,1,1,2,3,Women's Flyweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",CJ Vergara,Kleydson Rodrigues,0,0,5:00,S-DEC,3,71,81,0,1,0,2,Flyweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Loopy Godinez,Ariane Carnelossi,0,0,5:00,U-DEC,3,46,9,2,0,8,0,Women's Strawweight
UFC Fight Night: Swanson vs Stephens,28-Jun-14,"San Antonio, Texas, USA",Journey Newson,Fernie Garcia,0,0,5:00,U-DEC,3,57,37,0,0,2,0,Bantamweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Marlon Vera,Rob Font,3,0,5:00,U-DEC,5,159,271,0,0,0,1,Bantamweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Andrei Arlovski,Jake Collier,0,0,5:00,S-DEC,3,91,93,0,0,0,2,Heavyweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Joanderson Brito,Andre Fili,1,0,0:41,KO/TKO,1,14,6,0,0,0,0,Featherweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Grant Dawson,Jared Gordon,0,0,4:11,SUB,3,54,77,2,0,7,0,Lightweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Darren Elkins,Tristan Connelly,0,0,5:00,U-DEC,3,75,66,1,0,5,0,Featherweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Krzysztof Jotko,Gerald Meerschaert,0,0,5:00,U-DEC,3,65,37,0,0,4,1,Middleweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Alexandr Romanov,Chase Sherman,0,0,2:11,SUB,1,8,0,1,0,3,0,Heavyweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Francisco Figueiredo,Daniel Da Silva,0,0,1:18,SUB,1,5,4,1,0,0,1,Flyweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Gabe Green,Yohan Lainesse,0,1,4:02,KO/TKO,2,48,41,0,1,0,2,Welterweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Natan Levy,Mike Breeden,0,0,5:00,U-DEC,3,92,104,0,0,9,3,Lightweight
UFC Fight Night: Te Huna vs Marquardt,28-Jun-14,"Auckland, New Zealand",Shanna Young,Gina Mazany,0,0,3:11,KO/TKO,2,49,48,0,0,0,1,Women's Flyweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Jessica Andrade,Amanda Lemos,0,0,3:13,SUB,1,3,7,1,0,0,0,Women's Strawweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Claudio Puelles,Clay Guida,0,0,3:01,SUB,1,1,3,2,0,0,0,Lightweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Maycee Barber,Montana De La Rosa,0,0,5:00,U-DEC,3,50,14,0,0,1,1,Women's Flyweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Charles Jourdain,Lando Vannata,0,0,2:32,SUB,1,4,8,1,0,0,1,Featherweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Marc-Andre Barriault,Jordan Wright,0,0,2:36,SUB,1,13,12,1,0,0,2,Catch Weight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Sergey Khandozhko,Dwight Grant,2,1,4:15,KO/TKO,2,49,42,0,0,1,1,Welterweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Tyson Pedro,Ike Villanueva,1,0,4:55,KO/TKO,1,22,4,0,0,0,0,Light Heavyweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Aoriqileng,Cameron Else,1,0,2:48,KO/TKO,1,37,6,0,0,1,0,Bantamweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Preston Parsons,Evan Elder,0,0,5:00,U-DEC,3,75,27,5,0,4,0,Welterweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Philipe Lins,Marcin Prachnio,0,0,5:00,U-DEC,3,64,74,0,0,4,0,Light Heavyweight
UFC 174: Johnson vs Bagautinov,14-Jun-14,"Vancouver, British Columbia, Canada",Mike Jackson,Dean Barry,0,1,3:52,DQ,1,18,36,0,0,0,0,Welterweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Belal Muhammad,Vicente Luque,0,0,5:00,U-DEC,5,60,84,0,0,5,0,Welterweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Caio Borralho,Gadzhi Omargadzhiev,0,0,3:56,U-DEC,3,31,12,0,0,1,1,Middleweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Andre Fialho,Miguel Baeza,1,0,4:39,KO/TKO,1,32,24,0,0,0,0,Welterweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Mayra Bueno Silva,Wu Yanan,0,0,5:00,U-DEC,3,87,62,2,0,0,1,Women's Bantamweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Pat Sabatini,TJ Laramie,0,0,5:00,U-DEC,3,36,15,0,0,6,1,Featherweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Mounir Lazzez,Ange Loosa,0,0,5:00,U-DEC,3,141,88,0,0,0,0,Welterweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Devin Clark,William Knight,1,0,3:21,KO/TKO,3,34,21,0,2,2,1,Heavyweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Pannie Kianzad,Lina Lansberg,0,1,5:00,U-DEC,3,78,39,0,0,1,0,Women's Bantamweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Drakkar Klose,Brandon Jenkins,2,0,0:33,KO/TKO,2,76,18,0,0,2,0,Lightweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Rafa Garcia,Jesse Ronson,0,0,4:50,SUB,2,35,25,1,0,3,0,Lightweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Martin Buday,Chris Barnett,1,0,1:38,U-DEC,3,56,23,0,0,0,0,Heavyweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Jordan Leavitt,Trey Ogden,0,0,5:00,S-DEC,3,69,41,0,2,0,1,Lightweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Sam Hughes,Istela Nunes,0,0,5:00,M-DEC,3,76,89,0,0,2,0,Women's Strawweight
UFC Fight Night: Henderson vs Khabilov,7-Jun-14,"Albuquerque, New Mexico, USA",Alatengheili,Kevin Croom,1,0,0:47,KO/TKO,1,9,2,0,0,0,0,Bantamweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Alexander Volkanovski,Chan Sung Jung,1,0,0:45,KO/TKO,4,138,48,0,0,4,0,Featherweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Aljamain Sterling,Petr Yan,0,0,5:00,S-DEC,5,62,63,0,0,2,0,Bantamweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Khamzat Chimaev,Gilbert Burns,1,0,5:00,U-DEC,3,108,119,0,0,2,0,Welterweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Mackenzie Dern,Tecia Torres,0,0,5:00,S-DEC,3,50,76,3,0,0,0,Women's Strawweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Mark Madsen,Vinc Pichel,0,0,5:00,U-DEC,3,39,68,0,0,3,1,Lightweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Ian Garry,Darian Weeks,0,0,5:00,U-DEC,3,74,40,0,0,0,1,Welterweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Anthony Hernandez,Josh Fremd,0,0,5:00,U-DEC,3,48,31,3,1,8,1,Middleweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Raquel Pennington,Aspen Ladd,0,0,5:00,U-DEC,3,114,65,0,0,0,2,Women's Bantamweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Mike Malott,Mickey Gall,1,0,3:41,KO/TKO,1,28,13,0,0,0,1,Welterweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Aleksei Oleinik,Jared Vanderaa,0,0,3:39,SUB,1,8,15,1,0,0,0,Heavyweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Piera Rodriguez,Kay Hansen,0,0,5:00,U-DEC,3,50,31,0,0,3,2,Women's Strawweight
UFC Fight Night: Miocic vs Maldonado,31-May-14,"Sao Paulo, Brazil",Julio Arce,Daniel Santos,0,0,5:00,U-DEC,3,127,49,0,0,0,0,Bantamweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Curtis Blaydes,Chris Daukaus,1,0,0:17,KO/TKO,2,30,13,0,0,0,0,Heavyweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Alexa Grasso,Joanne Wood,0,0,3:57,SUB,1,16,34,1,0,2,0,Women's Flyweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Bryan Barberena,Matt Brown,0,0,5:00,S-DEC,3,111,81,0,0,0,5,Welterweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Kai Kara-France,Askar Askarov,0,0,5:00,U-DEC,3,51,27,0,2,0,2,Flyweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Neil Magny,Max Griffin,0,1,5:00,S-DEC,3,54,67,0,0,1,0,Welterweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Marc Diakiese,Viacheslav Borshchev,0,0,5:00,U-DEC,3,17,12,0,0,11,0,Lightweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Sara McMann,Karol Rosa,0,0,5:00,U-DEC,3,24,26,0,0,4,1,Women's Bantamweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Chris Gutierrez,Batgerel Danaa,1,0,2:34,KO/TKO,2,41,30,0,0,0,1,Bantamweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Aliaskhab Khizriev,Denis Tiuliulin,0,0,1:58,SUB,2,42,31,1,0,2,0,Middleweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Manon Fiorot,Jennifer Maia,0,0,5:00,U-DEC,3,83,37,0,0,2,1,Women's Flyweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Matheus Nicolau,David Dvorak,1,0,5:00,U-DEC,3,36,39,0,0,0,0,Flyweight
UFC Fight Night: Munoz vs Mousasi,31-May-14,"Berlin, Germany",Luis Saldana,Bruno Souza,0,0,5:00,U-DEC,3,84,66,0,0,2,1,Featherweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Tom Aspinall,Alexander Volkov,0,0,3:45,SUB,1,29,13,1,0,2,0,Heavyweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Arnold Allen,Dan Hooker,0,0,2:33,KO/TKO,1,49,14,0,0,0,0,Featherweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Paddy Pimblett,Kazula Vargas,0,0,3:49,SUB,1,3,7,1,0,1,0,Lightweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Gunnar Nelson,Takashi Sato,0,0,5:00,U-DEC,3,44,9,1,0,3,0,Welterweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Molly McCann,Luana Carolina,1,0,1:52,KO/TKO,3,85,64,0,0,2,0,Women's Flyweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Ilia Topuria,Jai Herbert,1,1,1:07,KO/TKO,2,20,22,0,0,1,0,Lightweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Makwan Amirkhani,Mike Grundy,0,0,0:57,SUB,1,0,0,1,0,0,1,Featherweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Sergei Pavlovich,Shamil Abdurakhimov,1,0,4:03,KO/TKO,1,21,17,0,0,0,0,Heavyweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Paul Craig,Nikita Krylov,0,0,3:57,SUB,1,2,19,1,0,1,1,Light Heavyweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Jack Shore,Timur Valiev,2,0,5:00,U-DEC,3,70,72,0,1,3,2,Bantamweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Elise Reed,Cory McKenna,0,0,5:00,S-DEC,3,76,60,0,0,0,3,Women's Strawweight
UFC 173: Barao vs Dillashaw,24-May-14,"Las Vegas, Nevada, USA",Muhammad Mokaev,Cody Durden,1,0,0:58,SUB,1,2,1,1,0,0,1,Flyweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Magomed Ankalaev,Thiago Santos,0,1,5:00,U-DEC,5,78,60,0,0,1,0,Light Heavyweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Song Yadong,Marlon Moraes,1,0,2:06,KO/TKO,1,14,9,0,0,0,0,Bantamweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Sodiq Yusuff,Alex Caceres,0,0,5:00,U-DEC,3,64,66,0,0,1,1,Featherweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Khalil Rountree Jr.,Karl Roberson,2,0,0:25,KO/TKO,2,26,17,0,0,0,0,Light Heavyweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Drew Dober,Terrance McKinney,1,1,3:17,KO/TKO,1,17,36,0,0,0,2,Lightweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Alex Pereira,Bruno Silva,0,0,5:00,U-DEC,3,108,59,0,0,0,2,Middleweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Matthew Semelsberger,AJ Fletcher,0,0,5:00,U-DEC,3,40,34,0,2,1,4,Welterweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",JJ Aldrich,Gillian Robertson,0,0,5:00,U-DEC,3,60,52,0,0,0,1,Women's Flyweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Javid Basharat,Trevin Jones,0,0,5:00,U-DEC,3,89,62,0,0,0,0,Bantamweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Damon Jackson,Kamuela Kirk,0,0,4:42,SUB,2,32,22,1,0,2,0,Featherweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Miranda Maverick,Sabina Mazo,0,0,2:15,SUB,2,19,15,1,0,4,0,Women's Flyweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Cody Brundage,Dalcha Lungiambula,0,0,3:41,SUB,1,4,29,1,0,1,1,Middleweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Guido Cannetti,Kris Moutinho,0,0,2:07,KO/TKO,1,28,11,0,0,0,0,Bantamweight
UFC Fight Night: Brown vs Silva,10-May-14,"Cincinnati, Ohio, USA",Azamat Murzakanov,Tafon Nchukwi,1,0,0:44,KO/TKO,3,28,43,0,0,1,0,Light Heavyweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Colby Covington,Jorge Masvidal,0,0,5:00,U-DEC,5,94,67,1,0,6,0,Welterweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Rafael Dos Anjos,Renato Moicano,1,0,5:00,U-DEC,5,149,88,0,0,5,0,Catch Weight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Bryce Mitchell,Edson Barboza,1,0,5:00,U-DEC,3,34,16,0,0,4,0,Featherweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Kevin Holland,Alex Oliveira,1,0,0:38,KO/TKO,2,50,21,0,1,0,2,Welterweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Serghei Spivac,Greg Hardy,0,0,2:16,KO/TKO,1,14,7,0,0,3,0,Heavyweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Jalin Turner,Jamie Mullarkey,1,0,0:46,KO/TKO,2,52,35,0,0,1,1,Lightweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Marina Rodriguez,Yan Xiaonan,0,0,5:00,S-DEC,3,72,56,0,0,0,2,Women's Strawweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Nicolae Negumereanu,Kennedy Nzechukwu,0,0,5:00,S-DEC,3,64,95,0,0,1,0,Light Heavyweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Maryna Moroz,Mariya Agapova,0,0,3:27,SUB,2,28,16,3,0,2,0,Women's Flyweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Umar Nurmagomedov,Brian Kelleher,0,0,3:15,SUB,1,18,1,1,0,1,0,Featherweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Tim Elliott,Tagir Ulanbekov,1,0,5:00,U-DEC,3,79,90,0,1,3,2,Flyweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Ludovit Klein,Devonte Smith,0,0,5:00,S-DEC,3,60,53,0,0,0,0,Lightweight
UFC 172: Jones vs Teixeira,26-Apr-14,"Baltimore, Maryland, USA",Dustin Jacoby,Michal Oleksiejczuk,0,0,5:00,U-DEC,3,89,69,0,0,1,1,Light Heavyweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Islam Makhachev,Bobby Green,0,0,3:23,KO/TKO,1,14,9,0,0,1,0,Catch Weight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Wellington Turman,Misha Cirkunov,0,0,1:29,SUB,2,15,30,2,1,0,1,Middleweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Priscila Cachoeira,Ji Yeon Kim,0,0,5:00,U-DEC,3,102,170,0,0,1,0,Women's Flyweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Arman Tsarukyan,Joel Alvarez,0,0,1:57,KO/TKO,2,36,7,0,0,2,0,Lightweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Armen Petrosyan,Gregory Rodrigues,0,0,5:00,S-DEC,3,127,61,0,2,0,2,Middleweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Ignacio Bahamondes,Rong Zhu,0,0,1:40,SUB,3,126,48,2,0,0,1,Lightweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Josiane Nunes,Ramona Pascual,2,0,5:00,U-DEC,3,98,52,0,0,0,3,Women's Featherweight
UFC on FOX: Werdum vs Browne,19-Apr-14,"Orlando, Florida, USA",Terrance McKinney,Fares Ziam,0,0,2:11,SUB,1,3,1,1,0,0,0,Lightweight
